TERRITORIO,LOTE,TITULAR,PAIS_CAPITAL,AREA
Awas Tingni  Mayangnina Sauni Umani (AMASAU),Waspan,Zhong Fu Development,China,3280.2230099346684
Chorotega,HEMCO - SID,"Minera San Cristobal, S. A.",Nicaragua,256.6044511869275
Chorotega,La Perla,Thomas Metal,China,2290.866963244145
Chorotega,Limay,Little Stone Mine,Nicaragua,1536.5142306893367
Chorotega,MUY MUY,"GLOBAL GROUP, SOCIEDAD ANONIMA",Nicaragua,1790.8953197755068
Chorotega,SEGOVIA MINING 1,"GLOBAL GROUP, SOCIEDAD ANONIMA",Nicaragua,9225.914441626184
Chorotega,SEGOVIA MINING 3,"GLOBAL GROUP, SOCIEDAD ANONIMA",Nicaragua,8189.666466798479
Chorotega,SEGOVIA MINING 6,"GLOBAL GROUP, SOCIEDAD ANONIMA",Nicaragua,10668.417301688767
Chorotega,Yalaguina,Brother Metal,China,4888.299300707417
Chorotega,Yalaguina II,Brother Metal,China,2605.27
Matagalpa,AURORA,"Calibre Mining Nicaragua, S. A.",Canada,21286.23696818339
Matagalpa,La Perla,Thomas Metal,China,21928.94552241509
Matagalpa,La Reyna II,Thomas Metal,China,3844.2798489085785
Matagalpa,Santa Emilia,Thomas Metal,China,29967.037008188952
Mayangna Sauni Arungka-Matungbak,BONANZA H-I,"HEMCO Nicaragua, S. A.",Nicaragua,1614.7202925133022
Mayangna Sauni Arungka-Matungbak,El Salto,Thomas Metal,China,727.431425005587
Mayangna Sauni Arungka-Matungbak,HEMCO - BONANZA II,"HEMCO Nicaragua, S. A. (HEMCONIC)",Nicaragua,1399.1712597364133
Mayangna Sauni Arungka-Matungbak,HEMCO - BONANZA IV,"HEMCO - Nicaragua, S. A.",Nicaragua,4934.497442818835
Mayangna Sauni Arungka-Matungbak,HEMCO - RB I,"HEMCO - Nicaragua, S. A.",Nicaragua,7554.198313778779
Mayangna Sauni Arungka-Matungbak,HEMCO - RB II,"HEMCO Nicaragua, S. A. (HEMCONIC)",Nicaragua,2211.7631017844697
Mayangna Sauni Arungka-Matungbak,HEMCO - ROSITA I,"Desarrollo Minero de Nicaragua, S. A. (DESMINIC)",Nicaragua,602.6888356058823
Mayangna Sauni Arungka-Matungbak,HEMCO - ROSITA V,"HEMCO - Nicaragua, S. A.",Nicaragua,357.0554657985162
Mayangna Sauni Arungka-Matungbak,Kukalaya,Thomas Metal,China,5386.144026511083
Mayangna Sauni Arungka-Matungbak,ROSITA H-2,"Desarrollo Minero de Nicaragua, S. A. (DESMINIC)",Nicaragua,993.1377700464182
Mayangna Sauni As,BONANZA H-I,"HEMCO Nicaragua, S. A.",Nicaragua,1.0769977205404637
Mayangna Sauni As,HB - V,"HEMCO Nicaragua, S. A. (HEMCONIC)",Nicaragua,894.0084763046076
Mayangna Sauni As,HEMCO - BONANZA IV,"HEMCO - Nicaragua, S. A.",Nicaragua,460.71844642385076
Mayangna Sauni As,HEMCO - BONANZA V,"HEMCO Nicaragua, S. A. (HEMCONIC)",Nicaragua,1327.788797007969
Mayangna Sauni As,Kukalaya,Thomas Metal,China,84.71243026172345
Mayangna Sauni As,MATUSALEN,"GLOBAL GROUP, SOCIEDAD ANONIMA",Nicaragua,4192.430176142698
Mayangna Sauni As,Waspan,Zhong Fu Development,China,6648.488771950393
Mayangna Sauni Bas,ASA,"Calibre Mining Nicaragua, S. A.",Canada,374.89594351081575
Mayangna Sauni Bas,El Deseo,Thomas Metal,China,2242.0898842363144
Mayangna Sauni Bas,El Hormiguero,Brother Metal,China,1501.9850981233778
Mayangna Sauni Bas,VERACRUZ,"Calibre Mining Nicaragua, S. A.",Canada,6.967698806299366
Prinzu Awala,ATLAS,"Calibre Mining Nicaragua, S. A.",Canada,8515.1916
Prinzu Awala,BEGONIA,"Calibre Mining Nicaragua, S. A.",Canada,47156.05441585439
Prinzu Awala,CASIOPEA,"Calibre Mining Nicaragua, S. A.",Canada,26684.82369976182
Prinzu Awala,CENTAURO,"Calibre Mining Nicaragua, S. A.",Canada,2394.0515188355744
Prinzu Awala,MINERVA,"Calibre Mining Nicaragua, S. A.",Canada,2159.5331605934944
Prinzu Awala,PEGASO,"Calibre Mining Nicaragua, S. A.",Canada,12334.550184018526
Prinzu Awala,POLARIS,"Calibre Mining Nicaragua, S. A.",Canada,16575.152549044906
Prinzu Awala,San Leonardo,Thomas Metal,China,1711.5754416080174
Prinzu_Auhya Uh,CASIOPEA,"Calibre Mining Nicaragua, S. A.",Canada,2759.888530268615
Prinzu_Auhya Uh,MINERVA,"Calibre Mining Nicaragua, S. A.",Canada,4305.956776716055
Prinzu_Auhya Uh,WALPA TARA,"Calibre Mining Nicaragua, S. A.",Canada,8668.39579241778
Tasba Pri Matriz Indigena,CAMELIA,"Calibre Mining Nicaragua, S. A.",Canada,248.0287757759741
Tasba Pri Matriz Indigena,Columbus I,Zhong Fu Devolopment SA,China,13567.285241006526
Tasba Pri Matriz Indigena,El Bongo de Hidalgo,Thomas Metal,China,11467.860440471879
Tasba Pri Matriz Indigena,El Encanto I,Zhong Fu Development,China,11423.941654519465
Tasba Pri Matriz Indigena,El Encanto II,Zhong Fu Development,China,8451.43829727798
Tasba Pri Matriz Indigena,WALPA TARA,"Calibre Mining Nicaragua, S. A.",Canada,13124.624864179104
Territorio Creole de Bluefilelds,Victoria,Nicaragua XinXin Linze Mineria,China,128.63672910911686
Territorio Rama y Kriol,El Castillo,Thomas Metal,China,23153.99319837941
Territorio Rama y Kriol,La Guinea,Thomas Metal,China,2591.5900011758063
Territorio Rama y Kriol,Victoria,Nicaragua XinXin Linze Mineria,China,28120.373009720504
Tuahka,BEGONIA,"Calibre Mining Nicaragua, S. A.",Canada,19.68430871953768
Tuahka,El Salto,Thomas Metal,China,6047.816477160755
Tuahka,HEMCO - RB II,"HEMCO Nicaragua, S. A. (HEMCONIC)",Nicaragua,289.4789479765149
Tuahka,HEMCO - ROSITA IV,"HEMCO - Nicaragua, S. A.",Nicaragua,5438.975664520766
